
# ;[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];[];[];
# ;pareto global b;pareto nordic corporate bond c;pareto räntefond a;pareto sverige a;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;pictet indian equities r;pictet japanese equity opportunities r;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;-0,033;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;-0,164;-0,097;;;;;;;;;-0,024;0,028;-0,085;;;;;
2022-10-06;-0,164;-0,097;;;-0,213;-0,241;;-0,248;-0,326;-0,170;-0,025;0,029;-0,086;-0,137;0,005;-0,045;-0,211;
2022-10-07;-0,173;-0,097;;;-0,216;-0,243;;-0,260;-0,333;-0,172;-0,025;0,034;-0,080;-0,142;0,005;-0,047;-0,210;
2022-10-10;-0,170;-0,097;;;-0,218;-0,248;-0,036;-0,266;-0,334;-0,174;-0,026;;;-0,142;0,006;-0,038;;
2022-10-11;-0,171;-0,097;;;-0,228;-0,255;-0,049;-0,276;-0,350;-0,184;-0,025;0,036;-0,079;-0,150;0,001;-0,044;-0,214;
2022-10-12;-0,173;-0,098;;;-0,223;-0,251;-0,042;-0,276;-0,345;-0,180;-0,025;0,038;-0,081;-0,147;0,007;-0,040;-0,215;
2022-10-13;-0,164;-0,098;;;-0,231;-0,253;-0,054;-0,293;-0,355;-0,187;-0,025;0,037;-0,083;-0,156;-0,001;-0,045;-0,222;
2022-10-14;-0,170;-0,098;;;-0,226;-0,241;-0,049;-0,279;-0,346;-0,180;-0,027;0,032;-0,087;-0,143;0,011;-0,042;-0,217;
2022-10-17;-0,164;-0,097;;;-0,224;-0,242;-0,045;-0,278;-0,343;-0,179;-0,026;0,033;-0,085;-0,141;0,014;-0,038;-0,219;
2022-10-18;-0,163;-0,097;;;-0,228;-0,240;-0,049;-0,276;-0,338;-0,182;-0,028;0,028;-0,091;-0,139;0,013;-0,044;-0,225;
2022-10-19;-0,165;-0,097;;;-0,239;-0,255;-0,067;-0,286;-0,348;-0,193;-0,031;0,024;-0,094;-0,148;0,003;-0,050;-0,228;
2022-10-20;-0,165;-0,097;;;-0,233;-0,258;-0,064;-0,281;-0,342;-0,188;-0,030;0,027;-0,093;-0,145;0,006;-0,041;-0,224;
2022-10-21;-0,157;-0,098;;;-0,235;-0,253;-0,068;-0,279;-0,346;-0,188;-0,029;0,028;-0,093;-0,146;0,008;-0,037;-0,226;
2022-10-24;-0,155;-0,098;;;-0,250;-0,249;-0,108;-0,268;-0,351;-0,198;-0,025;0,029;-0,092;-0,138;0,017;-0,033;-0,222;
2022-10-25;-0,149;-0,098;;;;;;;;;-0,024;0,030;-0,093;;;;;
