
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;-0,081;-0,045;;;;-0,105;;;;-0,333;;;
2022-10-06;-0,077;-0,137;-0,102;;-0,137;-0,082;-0,046;-0,011;-0,058;-0,171;-0,106;-0,006;-0,152;-0,151;-0,335;-0,023;-0,079;
2022-10-07;-0,078;-0,144;-0,116;;-0,144;-0,084;-0,047;-0,016;-0,066;-0,182;-0,111;-0,007;-0,167;-0,167;-0,333;-0,024;-0,080;
2022-10-10;-0,078;-0,142;-0,116;;-0,142;;-0,048;-0,017;-0,065;-0,179;-0,110;-0,005;-0,168;-0,169;-0,334;-0,024;-0,084;
2022-10-11;-0,079;-0,145;-0,123;;-0,144;-0,088;-0,047;-0,020;-0,069;-0,182;-0,112;-0,005;-0,172;-0,173;-0,332;-0,026;-0,084;
2022-10-12;-0,079;-0,144;-0,121;;-0,143;-0,088;-0,047;-0,015;-0,069;-0,180;-0,113;-0,005;-0,172;-0,173;-0,330;-0,027;-0,082;
2022-10-13;-0,079;-0,149;-0,124;;-0,148;-0,089;-0,048;-0,022;-0,077;-0,181;-0,109;-0,003;-0,176;-0,177;-0,332;-0,024;-0,082;
2022-10-14;-0,079;-0,136;-0,109;;-0,134;-0,089;-0,049;-0,008;-0,060;-0,169;-0,113;-0,001;-0,160;-0,161;-0,323;-0,023;-0,076;
2022-10-17;-0,079;-0,140;-0,105;;-0,138;-0,087;-0,048;-0,012;-0,068;-0,163;-0,109;-0,001;-0,152;-0,152;-0,318;-0,025;-0,080;
2022-10-18;-0,078;-0,138;-0,100;;-0,136;-0,084;-0,048;-0,010;-0,064;-0,157;-0,108;-0,001;-0,146;-0,147;-0,313;-0,029;-0,077;
2022-10-19;-0,080;-0,140;-0,109;;-0,138;-0,086;-0,050;-0,015;-0,067;-0,162;-0,109;-0,003;-0,155;-0,155;-0,320;-0,030;-0,074;
2022-10-20;-0,081;-0,139;-0,106;;-0,137;-0,088;-0,051;-0,017;-0,068;-0,167;-0,111;-0,004;-0,159;-0,158;-0,312;-0,030;-0,074;
